Group 1,Site on group 1,Group 2,Site on group 2,epsilon (assoc.),Bonding volume (cubic angstroms)
aCH,e1,H2O,H,563.56,339.61
aCH,e1,H3O +,H,563.56,339.61
aCH,e1,aCCOOH,H,3961.5,0.023401
aCCH2,e1,H2O,H,563.56,339.61
aCCH2,e1,H3O +,H,563.56,339.61
aCCH2,e1,aCCOOH,H,3961.5,0.023401
aCCH,e1,H2O,H,563.56,339.61
aCCH,e1,H3O +,H,563.56,339.61
COOH,H,COOH,H,6427.9,0.8062
COOH,e1,H2O,H,1451.8,280.89
COOH,e2,H2O,H,1252.6,150.98
COOH,H,H2O,e1,2567.7,270.09
COOH,e1,CH2OH,H,1062.1,210.67
COOH,e2,CH2OH,H,997.89,227.07
COOH,H,CH2OH,e1,3238.4,36.05
COOH,e1,H3O +,H,1451.8,280.89
COOH,e2,H3O +,H,1252.6,150.98
COOH,H,OH -,e1,2036,214.16
CH3COCH3,H,CH3COCH3,e1,980.2,2865.2
CH3COCH3,e1,H2O,H,1588.7,772.77
CH3COCH3,e2,H2O,H,417.24,1304.3
CH3COCH3,H,H2O,e1,1386.8,188.83
CH3COCH3,e1,OH,H,1492.9,986.39
CH3COCH3,H,OH,e1,1177.4,323.75
CH3COCH3,e1,CH2OH,H,1844.8,991.95
CH3COCH3,H,CH2OH,e1,686.93,585.99
CH3COCH3,e1,CHOH,H,1323.1,635.37
CH3COCH3,H,CHOH,e1,1186.9,731.08
CH3COCH3,e1,aCOH,H,2162.2,935.51
CH3COCH3,H,aCOH,e1,1053.1,500
CH3COCH3,e1,aCCOOH,H,2732.9,478.38
CH3COCH3,e1,aCNHaC,H,2208.9,750.72
COO,e1,H2O,H,1245.8,454.98
COO,e1,OH,H,1920.1,114.85
COO,e1,aCCOOH,H,1772.3,945.09
H2O,H,H2O,e1,1985.4,101.69
H2O,e1,CH3OH,H,1993.5,104.11
H2O,H,CH3OH,e1,1993.5,104.11
H2O,e1,CO2,e1,1398.1,91.419
H2O,e1,OH,H,500,1383.1
H2O,H,OH,e1,2225.6,114.53
H2O,e1,CH2OH,H,621.68,425
H2O,H,CH2OH,e1,2153.2,147.4
H2O,e1,CHOH,H,2289.1,63.813
H2O,H,CHOH,e1,2140.9,19.478
H2O,e1,NH2,H,1988.3,55.824
H2O,H,NH2,e1,1460,179.6
H2O,e1,NH,H,1064.5,400.82
H2O,H,NH,e1,3890.4,928
H2O,H,N,e1,2783.7,15.536
H2O,e1,cNH,H,1701,1.6177
H2O,H,cNH,e1,2838.4,37.395
H2O,H,cN,e1,5203.7,0.0374
H2O,H,aCCH3,e1,563.56,339.61
H2O,e1,aCOH,H,2500,52.47
H2O,H,aCOH,e1,1798.2,103.92
H2O,H,aCOH,e2,563.56,339.61
H2O,H,cCHNH,e1,5903.8,0.002075
H2O,e1,cCHNH,H,5477.7,0.009582
H2O,H,cCHN,e1,4115.4,0.2307
H2O,e1,H3O +,H,1985.4,101.69
H2O,e1,N +,H,2783.7,15.536
H2O,H,OH -,e1,1492,76.411
H2O,H,COO -,e1,802.21,52.555
H2O,H,HNO3,e1,2900,38.401
H2O,e1,HNO3,H,1606.6,38.401
H2O,H,NO3 -,e1,2350,97.014
H2O,H,HCO3 -,e1,1398.1,91.419
H2O,H,aCCOOH,e1,882.05,984.34
H2O,H,aCCOOH,e2,882.05,984.34
H2O,e1,aCCOOH,H,5192.5,0.011186
CH3OH,H,CH3OH,e1,2062.1,106.57
CH3OH,H,aCCOOH,e1,1400.7,495.32
CH3OH,e1,aCCOOH,H,871.46,0.25605
CH3OH,H,aCNHaC,e1,2346,3.1536
CH3OH,e1,aCNHaC,H,2346,3.1536
CO2,e1,NH2,e1,4023.9,120.35
CO2,e2,NH2,e1,5981.4,1.0036
CO2,e1,NH,e1,6012.1,0.14157
CO2,e2,NH,e1,7420.5,0.43534
CO2,e1,N,e1,4270.8,0.4634
CO2,e2,N,e1,7439.8,0.006748
CO2,e1,cNH,e1,5696.6,4.6758
CO2,e2,cNH,e1,6017.9,1.1003
CO2,e1,cN,e1,3388.6,1031
CO2,e2,cN,e1,3004.9,659.21
CO2,e1,cCHNH,e1,2246,0.14057
CO2,e2,cCHNH,e1,3870.8,6445.7
OH,H,OH,e1,2161,54.398
OH,H,NH2,e1,1282.7,254.28
OH,e1,NH2,H,1354,141.35
OH,e1,NH,H,861.12,556.32
OH,H,NH,e1,1477.7,449.81
OH,H,N,e1,1357.2,599.19
CH2OH,H,CH2OH,e1,2097.9,62.309
CH2OH,e1,CHOH,H,1464.1,591.55
CH2OH,H,CHOH,e1,2500,10.444
CH2OH,e1,NH2,H,629.88,346.08
CH2OH,H,NH2,e1,2403.8,26.192
CH2OH,e1,NH,H,341.13,1499.8
CH2OH,H,NH,e1,1390.1,947.93
CH2OH,H,N,e1,1247.2,286.83
CH2OH,e1,aCOH,H,2182.7,402.6
CH2OH,H,aCOH,e1,250.03,25
CH2OH,H,N +,e1,1247.2,286.83
CH2OH,H,aCCOOH,e1,1284.9,2978.8
CH2OH,H,aCCOOH,e2,3889.3,0.43712
CH2OH,e1,aCCOOH,H,1284.9,2978.8
CHOH,H,CHOH,e1,2480.6,8.474
CHOH,H,aCCOOH,e1,2278.5,73.698
CHOH,H,aCCOOH,e2,2278.5,73.698
CHOH,e1,aCCOOH,H,2278.5,73.698
NH2,e1,NH2,H,1070.8,95.225
NH2,H,NH,e1,1639.9,37.9
NH2,e1,NH,H,1682.1,0.582
NH,e1,NH,H,1370.3,10.062
cNH,H,cNH,e1,1511.6,87.651
cNH,H,cN,e1,901.35,1.1555
aCCH3,e1,aCCOOH,H,3961.5,0.023401
aCOH,H,aCOH,e1,1538.1,275.86
cCHNH,e1,cCHNH,H,1293.5,438.49
H3O +,H,OH -,e1,1492,76.411
H3O +,H,COO -,e1,802.21,52.555
H3O +,H,SO4 2-,e1,2266,43.7
H3O +,H,NO3 -,e1,2900,38.401
H3O +,H,HCO3 -,e1,1398.1,91.419
HNO3,H,HNO3,e1,1300,8.9978
aCCOOH,H,aCCOOH,H,4745.7,10.04
aCCOOH,H,aCNHaC,e1,2424.1,990.46
aCCOOH,H,CH3CO,e1,2828.1,47.677
SO2 (2s),H,SO2 (2s),e1,955.58,849.99
SO2 (1s),e*,SO2 (1s),e*,1007,1149.9
SO2 (3s),H,SO2 (3s),e1,1012.1,399.45
SO2 (2s),H,CH2OH,e1,1415.88,303.268
SO2 (2s),e1,CH2OH,H,1415.88,303.268
NO,e*,NO,e*,960.1,11.409
NO2,e*,NO2,e*,5444.9,0.10002
